name,category,kcal_per_100g,carbs_g_per_100g,protein_g_per_100g,fat_g_per_100g,fiber_g_per_100g
Jallal,Marine Fish,100.38,0,21.55,1.46,0
Jathi vela meen,Marine Fish,108.27,0,22.45,1.92,0
Kadal bral,Marine Fish,87.95,0,18.72,1.34,0
Kadali,Marine Fish,126.67,0,22.07,4.2,0
Kalamaara,Marine Fish,125,0,20.89,4.54,0
Kalava,Marine Fish,89.39,0,19.38,1.2,0
Kanamayya,Marine Fish,87.72,0,20.19,0.65,0
Kannadi paarai,Marine Fish,101.1,0,22.09,1.27,0
Karimeen,Marine Fish,92.26,0,19.68,1.38,0
Karnagawala,Marine Fish,86.76,0,19.52,0.84,0
Kayrai,Marine Fish,108.51,0,20.15,3,0
Kiriyan,Marine Fish,132.89,0,22.49,4.7,0
Kite fish,Marine Fish,98.71,0,23.07,0.56,0
Korka,Marine Fish,126.2,0,23.72,3.36,0
Kulam paarai,Marine Fish,119.74,0,21.62,3.6,0
Maagaa,Marine Fish,87.48,0,20.11,0.67,0
Mackerel,Marine Fish,101.1,0,21.51,1.53,0
Manda clathi,Marine Fish,95.12,0,21.27,1,0
Matha,Marine Fish,92.97,0,21.17,0.79,0
Milk fish,Marine Fish,105.64,0,23.66,1.09,0
Moon fish,Marine Fish,125.72,0,20.74,4.69,0
Mullet,Marine Fish,93.93,0,20.23,1.32,0
Mural,Marine Fish,82.46,0,19.04,0.58,0
Myil meen,Marine Fish,97.99,0,22.89,0.56,0
Nalla bontha,Marine Fish,87,0,19.82,0.72,0
Narba,Marine Fish,103.25,0,21.95,1.6,0
Paarai,Marine Fish,103.97,0,21.58,1.84,0
Padayappa,Marine Fish,86.04,0,19.7,0.69,0
Pali kora,Marine Fish,94.17,0,19.25,1.81,0
Pambada,Marine Fish,128.35,0,21.95,4.44,0
Pandukopa,Marine Fish,86.04,0,19.73,0.65,0
Parava,Marine Fish,111.62,0,21.5,2.74,0
Parcus,Marine Fish,86.28,0,19.87,0.62,0
Parrot fish,Marine Fish,89.63,0,20.82,0.57,0
Perinkilichai,Marine Fish,92.5,0,20.89,0.87,0
Phopat,Marine Fish,101.34,0,22.05,1.33,0
Piranha,Marine Fish,131.21,0,20.46,5.43,0
"Pomfret, black",Marine Fish,123.09,0,18.91,4.83,0
"Pomfret, snub nose",Marine Fish,89.63,0,21.05,0.46,0
"Pomfret, white",Marine Fish,122.61,0,19.02,5.12,0
Pranel,Marine Fish,96.8,0,19.69,1.89,0
Pulli paarai,Marine Fish,95.36,0,20.06,1.55,0
Queen fish,Marine Fish,95.6,0,20.97,1.17,0
Raai fish,Marine Fish,102.77,0,21.61,1.69,0
Raai vanthu,Marine Fish,97.99,0,19.39,2.17,0
Rani,Marine Fish,90.11,0,18.83,1.49,0
"Ray fish, bow head, spotted",Marine Fish,83.41,0,19.03,0.7,0
Red snapper,Marine Fish,104.45,0,22.79,1.34,0
"Red snapper, small",Marine Fish,107.79,0,21.5,2.3,0
Sadaya,Marine Fish,110.42,0,20.68,2.97,0
Salmon,Marine Fish,172.32,0,20.97,9.86,0
Sangada,Marine Fish,105.88,0,20.26,2.67,0
Sankata paarai,Marine Fish,103.73,0,21.87,1.68,0
Sardine,Marine Fish,152.25,0,17.91,8.99,0
Shark,Marine Fish,95.12,0,21.6,0.83,0
"Shark, hammer head",Marine Fish,103.25,0,23.4,0.8,0
"Shark, spotted",Marine Fish,91.78,0,20.95,0.75,0
Shelavu,Marine Fish,106.6,0,22.46,1.74,0
Silan,Marine Fish,151.29,0,22.72,6.68,0
Silk fish,Marine Fish,97.51,0,20.65,1.53,0
Silver carp,Marine Fish,132.65,0,21.71,5.17,0
Sole fish,Marine Fish,87.72,0,19.05,1.18,0
Stingray,Marine Fish,97.51,0,23.98,0.68,0
Tarlava,Marine Fish,98.95,0,21.72,1.2,0
Tholam,Marine Fish,103.25,0,20.78,2.13,0
Tilapia,Marine Fish,83.41,0,18.48,1.08,0
Tuna,Marine Fish,112.33,0,24.5,1.44,0
"Tuna, striped",Marine Fish,96.32,0,21.28,1.12,0
Valava,Marine Fish,97.99,0,21.8,1.06,0
Vanjaram,Marine Fish,136.23,0,22.28,5.18,0
Vela meen,Marine Fish,128.35,0,22.16,4.34,0
Vora,Marine Fish,100.86,0,20.14,2.14,0
Whale shark,Marine Fish,95.84,0,21.83,0.82,0
Xiphinis,Marine Fish,88.43,0,19.82,0.88,0
"Eggs, Cat fish",Marine Fish,143.4,0,24.68,5.28,0
Crab,Marine Shellfish,81.98,0,10.23,1.41,0
"Crab, sea",Marine Shellfish,67.64,0,15.36,0.6,0
"Lobster, brown",Marine Shellfish,69.79,0,15.96,0.56,0
"Lobster, king size",Marine Shellfish,89.63,0,18.54,0.78,0
Mud crab,Marine Shellfish,45.41,0,10,0.55,0
Oyster,Marine Shellfish,60.23,0,9.51,2.44,0
"Tiger prawns, brown",Marine Shellfish,65.25,0,14.85,0.56,0
"Tiger Prawns, orange",Marine Shellfish,64.53,0,14.25,0.74,0
"Clam, green shell",Marine Mollusks,58.08,0,12.14,0.98,0
"Clam, white shell, ribbed",Marine Mollusks,59.75,0,11.82,1.34,0
Octopus,Marine Mollusks,79.83,0,14.71,1.12,0
"Squid, black",Marine Mollusks,80.07,0,16.1,1.07,0
"Squid, hard shell",Marine Mollusks,76.48,0,16.82,0.93,0
"Squid, red",Marine Mollusks,78.63,0,16.25,1.44,0
"Squid, white, small",Marine Mollusks,84.37,0,17.41,1.15,0
Cat fish,Fresh Water Fish and Shellfish,123.8,0,15.86,6.24,0
Catla,Fresh Water Fish and Shellfish,94.17,0,17.94,2.15,0
Freshwater Eel,Fresh Water Fish and Shellfish,107.79,0,20.41,2.63,0
Gold fish,Fresh Water Fish and Shellfish,94.65,0,16.91,2.94,0
Pangas,Fresh Water Fish and Shellfish,203.63,0,17.12,16.77,0
Rohu,Fresh Water Fish and Shellfish,102.29,0,19.71,2.39,0
Crab,Fresh Water Fish and Shellfish,78.15,0,13.23,0.89,0
"Prawns, big",Fresh Water Fish and Shellfish,90.82,0,19.24,0.52,0
"Prawns, small",Fresh Water Fish and Shellfish,70.98,0,13.07,0.78,0
Tiger prawns,Fresh Water Fish and Shellfish,67.88,0,14.24,0.66,0
Coconut oil,Edible Oils and Fats,0,0,0,100,0
Corn oil,Edible Oils and Fats,0,0,0,100.01,0
Cotton seed oil,Edible Oils and Fats,0,0,0,99.99,0
Gingelly oil,Edible Oils and Fats,0,0,0,100,0
Groundnut oil,Edible Oils and Fats,0,0,0,100,0
Mustard oil,Edible Oils and Fats,0,0,0,100,0
Palm oil,Edible Oils and Fats,0,0,0,100,0
Rice bran oil,Edible Oils and Fats,0,0,0,100,0
Safflower oil,Edible Oils and Fats,0,0,0,100.01,0
Safflower oil (blended),Edible Oils and Fats,0,0,0,100,0
Soyabean oil,Edible Oils and Fats,0,0,0,100,0
Sunflower oil,Edible Oils and Fats,0,0,0,100,0
Ghee,Edible Oils and Fats,0,0,0,100,0
Vanaspati,Edible Oils and Fats,0,0,0,100,0
